Cannabinoid,1,2,3,5,8
8-THC,0.0,0.0,0.0,0.0,0.0
9-THC,3.580035788927257,6.133565439448739,4.30632746664719,3.9944304975803497,5.873265701464561
THCA,0.0,0.0,0.0,0.0,0.0
THCP,0.0,0.0,0.0,0.0,0.0
THCV,0.0,0.0,0.0,0.0,0.0
THC-11-OH,0.0,0.0,0.0,0.0,0.0
THC-acid,0.0,0.0,0.0,0.0,0.0
THC-acid-glu,0.0,0.0,0.0,0.0,0.0
THC-glu,0.0,0.0,0.0,0.0,0.0
CBC,0.0,0.0,0.0,0.0,0.0
CBCA,0.0,0.0,0.0,0.0,0.0
CBD,25.655360185544072,32.44679783250319,35.28635746172544,38.24861947399757,44.32876962725976
CBDA,12.092783316231765,8.488534423954858,0.0,0.0,0.0
CBDV,0.0,0.0,0.0,0.0,0.0
CBDVA,0.0,0.0,0.0,0.0,0.0
CBD-7-acid,27.351928786345823,49.58679503322096,13.339011941794391,15.570986574930528,18.44237664320952
CBG,0.0,0.0,0.0,0.0,0.0
CBGA,0.0,0.0,0.0,0.0,0.0
CBL,0.0,0.0,0.0,0.0,0.0
CBLA,0.0,0.0,0.0,0.0,0.0
CBN,0.0,0.0,0.0,0.0,0.0
